Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;Total;18.311,9
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;Cuatro o más días a la semana;5.114,8
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;De 1 a 3 días a la semana;3.343,6
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;1.241,7
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;Menos de 1 día al mes;4.123,8
CIFRAS ABSOLUTAS;Ambos sexos;Total;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;4.488,1
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Total;18.311,9
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;2.976,8
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;5.671,9
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;1.368,1
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;3.243,2
CIFRAS ABSOLUTAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;5.052,0
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Total;1.978,0
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;41,9
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;297,4
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;124,2
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día al mes;686,3
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;828,3
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Total;1.978,0
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;169,4
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;927,4
CIFRAS ABSOLUTAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;201,3
