winery,wine,year,calificacion,num_resenas,pais,region,precio,tipo,cuerpo,acidez
Teso La Monja,Tinto,2013,49,58,Espana,Toro,9950,Toro Tinto,50,30
Artadi,Vina El Pison,2018,49,31,Espana,Vino de Espana,3135,Tempranillo,40,20
Vega Sicilia,Unico,2009,48,1793,Espana,Ribera del Duero,32495,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1999,48,1705,Espana,Ribera del Duero,69296,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1996,48,1309,Espana,Ribera del Duero,77806,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1998,48,1209,Espana,Ribera del Duero,4900,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2010,48,1201,Espana,Ribera del Duero,3490,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1995,48,926,Espana,Ribera del Duero,81089,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2015,48,643,Espana,Ribera del Duero,3450,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2011,48,630,Espana,Ribera del Duero,3150,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2016,48,591,Espana,Ribera del Duero,51485,Ribera del Duero Tinto,50,30
Pago de Carraovejas,El Anejon,2016,48,454,Espana,Ribera del Duero,10515,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2018,48,438,Espana,Ribera del Duero,4300,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1970,48,417,Espana,Ribera del Duero,9250,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Convento Seleccion,1946,48,398,Espana,Montilla-Moriles,3500,Pedro Ximenez,50,10
Pago de Carraovejas,Cuesta de Las Liebres,2015,48,372,Espana,Ribera del Duero,16618,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1962,48,295,Espana,Ribera del Duero,16200,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2019,48,250,Espana,Ribera del Duero,43136,Ribera del Duero Tinto,50,30
Bodegas El Nido,El Nido,2018,48,217,Espana,Jumilla,"1,95627E+14",Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,2004,48,211,Espana,Ribera del Duero,82443,Ribera del Duero Tinto,50,30
Valdespino,Toneles Moscatel,N.V.,48,174,Espana,Jerez-Xeres-Sherry,2530,Jerez,40,30
Vega Sicilia,Unico Reserva Especial Edicion,2013,48,172,Espana,Ribera del Duero,57051,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2016,48,145,Espana,Ribera del Duero,12800,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Convento Seleccion,1931,48,139,Espana,Montilla-Moriles,24485,Pedro Ximenez,50,10
Vega Sicilia,Unico Reserva Especial Edicion,2010,48,125,Espana,Ribera del Duero,71934,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1979,48,118,Espana,Ribera del Duero,8150,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Pedro Ximenez,1946,48,103,Espana,Montilla-Moriles,28586,Pedro Ximenez,50,10
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,48,87,Espana,Priorato,141026,Priorat Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,2005,48,87,Espana,Ribera del Duero,81396,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2020,48,84,Espana,Ribera del Duero,43575,Ribera del Duero Tinto,50,30
Ordonez,Vatan Arena Tinta de Toro,2014,48,79,Espana,Toro,36905,Toro Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,1985,48,70,Espana,Ribera del Duero,118277,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Convento Seleccion,1929,48,69,Espana,Montilla-Moriles,22795,Pedro Ximenez,50,10
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,48,68,Espana,Ribera del Duero,9990,Ribera del Duero Tinto,50,30
Vina Sastre,Pesus Ribera del Duero,2007,48,68,Espana,Ribera del Duero,3600,Ribera del Duero Tinto,50,30
Teso La Monja,Tinto,2012,48,56,Espana,Toro,11900,Toro Tinto,50,30
Dominio de Pingus,Pingus,2017,48,52,Espana,Ribera del Duero,11500,Ribera del Duero Tinto,50,30
Teso La Monja,Tinto,2009,48,50,Espana,Toro,9500,Toro Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,48,40,Espana,Priorato,102121,Priorat Tinto,40,30
Sierra Cantabria,Magico,2016,48,40,Espana,Rioja,5445,Rioja Tinto,40,30
Teso La Monja,Tinto,2011,48,32,Espana,Toro,12950,Toro Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,48,31,Espana,Priorato,9922,Priorat Tinto,40,30
Teso La Monja,Tinto,2015,48,28,Espana,Toro,128944,Toro Tinto,50,30
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,48,26,Espana,Bierzo,10989,Tinto,40,30
La Rioja Alta,Gran Reserva 890,1985,48,26,Espana,Rioja,21534,Rioja Tinto,40,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,48,26,Espana,Priorato,10949,Priorat Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,"2,0092E+11",47,12421,Espana,Ribera del Duero,4235,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2010,47,5266,Espana,Ribera del Duero,2395,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2014,47,4350,Espana,Ribera del Duero,1755,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2006,47,3929,Espana,Ribera del Duero,1940,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2005,47,3437,Espana,Ribera del Duero,38115,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2004,47,3164,Espana,Ribera del Duero,58443,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2000,47,3127,Espana,Ribera del Duero,5552,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2007,47,2935,Espana,Ribera del Duero,44528,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2015,47,2826,Espana,Ribera del Duero,1890,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2006,47,2765,Espana,Ribera del Duero,36225,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2008,47,2480,Espana,Ribera del Duero,2890,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2003,47,2419,Espana,Ribera del Duero,3250,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2016,47,2177,Espana,Ribera del Duero,10757,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2005,47,1892,Espana,Ribera del Duero,2340,Ribera del Duero Tinto,50,30
